Longitude;Latitude
-81.204878;28.566673
-81.365154;28.601383
-81.730732;28.546774
-79.879049;36.697013
-80.420841;37.162552
-79.888203;36.996009
-79.96214;37.318704
-78.794509;35.70531
-78.738796;35.744685
-82.01012;35.686005
-78.740292;35.76117
-81.689808;35.746758
-78.823113;35.764483
-77.442864;35.599853
-79.784818;35.70067
-79.809504;35.68695
-82.554709;35.610596
-78.7778;35.591774
-78.475307;35.618565
-82.519953;35.577743
-78.61786;35.685499
-82.598746;35.589144
-78.653616;35.724901
-80.874337;35.583549
-78.875794;35.760558
-78.794496;35.662644
-79.006062;35.723436
-78.64031;35.714057
-81.31159;35.709085
-82.009398;28.928653
-82.567276;29.009005
-82.204604;29.130766
-82.485879;28.937801
-80.900138;28.949816
-82.457401;29.053921
-81.00053;29.168975
-82.591717;28.883637
-81.887547;28.818954
